DATE,Household Income
1/1/1984,56780
1/1/1985,57860
1/1/1986,60010
1/1/1987,60760
1/1/1988,61210
1/1/1989,62260
1/1/1990,61500
1/1/1991,59710
1/1/1992,59210
1/1/1993,58920
1/1/1994,59550
1/1/1995,61440
1/1/1996,62350
1/1/1997,63640
1/1/1998,65980
1/1/1999,67650
1/1/2000,67470
1/1/2001,66360
1/1/2002,65820
1/1/2003,65860
1/1/2004,65760
1/1/2005,66780
1/1/2006,67520
1/1/2007,68610
1/1/2008,66280
1/1/2009,65850
1/1/2010,64300
1/1/2011,63350
1/1/2012,63350
1/1/2013,65740
1/1/2014,64900
1/1/2015,68410
1/1/2016,70840
1/1/2017,72090
1/1/2018,73030
1/1/2019,78250
1/1/2020,76660
1/1/2021,76330
1/1/2022,74580
